CurveID,CurveName,DataSource,Commodity,ProductOrMarket,Location,ContractType,PriceType,Granularity,PublicationFrequency,PublicationCalendar,Currency,CurveUnit,CurveType,UsageType,Description,OwnerRole,Destination,CurveStatus,SettlementTime,ProductCode,CreatedBy,CreatedDateTimeUtc,GMACurveID,TimeOfDay,Timezone,SurfaceContractType,SurfaceStrikeType
2841,P_Trader_France_WE.EUR,GMT Trader,Power,French Power,France,OTC Physical Power,Mid,Weekends,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Weekends,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2014-12-09 17:24:20.277,NULL,Base,NULL,NULL,NULL
2856,P_Trader_France_YOP.EUR,GMT Trader,Power,French Power,France,OTC Physical Power,Mid,Yearly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Yearly OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2014-12-09 17:24:23.527,NULL,Off Peak,NULL,NULL,NULL
2875,P_Trader_Germany_SB.EUR,GMT Trader,Power,German Power,Germany,OTC Physical Power,Mid,Seasons,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Seasons Base,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2014-12-09 17:25:07.170,NULL,Base,NULL,NULL,NULL
2865,P_Trader_Germany_WE.EUR,GMT Trader,Power,German Power,Germany,OTC Physical Power,Mid,Weekends,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Weekends,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2014-12-09 17:25:01.527,NULL,Base,NULL,NULL,NULL
2868,P_Trader_Germany_WOP.EUR,GMT Trader,Power,German Power,Germany,OTC Physical Power,Mid,Weekly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Weekly OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2014-12-09 17:25:02.560,NULL,Off Peak,NULL,NULL,NULL
2707,P_Trader_Hungary_MOP.EUR,GMT Trader,Power,Hungarian Power,Hungary,OTC Physical Power,Mid,Monthly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Monthly OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2014-12-09 14:45:42.357,NULL,Off Peak,NULL,NULL,NULL
2704,P_Trader_Hungary_WOP.EUR,GMT Trader,Power,Hungarian Power,Hungary,OTC Physical Power,Mid,Weekly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Weekly OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2014-12-09 14:45:40.857,NULL,Off Peak,NULL,NULL,NULL
NULL,P_Retail_Spain_MP.EUR,GMT Trader,Power,Spanish Power,Spain,OTC Physical Power,Mid,Monthly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Monthly Peak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Peak,NULL,NULL,NULL
NULL,P_Retail_Swiss_HB.EUR,GMT Trader,Power,Swiss Power,Switzerland,OTC Physical Power,Mid,Hourly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Hourly Base (Shifted one hour forward from source curve),FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Base,NULL,NULL,NULL
NULL,P_Retail_Swiss_QOP.EUR,GMT Trader,Power,Swiss Power,Switzerland,OTC Physical Power,Mid,Quarterly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Quarterly OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Off Peak,NULL,NULL,NULL
NULL,P_Retail_Swiss_SB.EUR,GMT Trader,Power,Swiss Power,Switzerland,OTC Physical Power,Mid,Seasons,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Seasons Base,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Base,NULL,NULL,NULL
NULL,P_Retail_Swiss_YP.EUR,GMT Trader,Power,Swiss Power,Switzerland,OTC Physical Power,Mid,Yearly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Yearly Peak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Peak,NULL,NULL,NULL
9459,P_SYNTH_France_DB.EUR,NULL,Power,French Power,France,NULL,NULL,Daily,NULL,NULL,EUR,MWh,Forward Curve,Analysis,Synthetic curve - EEX DA combined with House Forward,NULL,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-27 18:19:45.063,NULL,Base,NULL,NULL,NULL
9616,P_Synth_France_Dutch_Diff_DB.EUR,NULL,Power,NULL,NULL,NULL,NULL,Daily,Daily,NULL,EUR,MWh,Forward Curve,Analysis,Synthetic curve - diff between markets,NULL,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2018-02-14 22:01:51.857,NULL,Base,NULL,NULL,NULL
9461,P_SYNTH_Spain_DB.EUR,NULL,Power,Spanish Power,Spain,NULL,NULL,Daily,NULL,NULL,EUR,MWh,Forward Curve,Analysis,Synthetic curve - OMIE DA combined with House Forward,NULL,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-27 18:20:17.067,NULL,Base,NULL,NULL,NULL
9478,P_SYNTH_Swiss_DB.EUR,NULL,Power,Swiss Power,Switzerland,NULL,NULL,Daily,Daily,NULL,EUR,MWh,Forward Curve,Analysis,Synthetic curve - EEX DA combined with House Forward,NULL,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-12-20 07:13:45.687,NULL,Base,NULL,NULL,NULL
NULL,P_Nasdaq_Germany_MP.EUR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ProductControl,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,3174774,NULL,NULL,NULL,NULL
NULL,P_Nasdaq_Germany_WP.EUR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ProductControl,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8588,P_NBS_ANHUI_OUTPUT,National Bureau of Statistics of China,Power,NULL,Anhui,Output,NULL,Monthly,Monthly,NULL,NULL,100 million kwh,Fundamental Data,Analysis,Output of Energy Products - NBS China,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-21 13:32:15.823,NULL,NULL,NULL,NULL,NULL
8682,P_NBS_FUJIAN_OUTPUT_ACC_GROWTH,National Bureau of Statistics of China,Power,NULL,Fujian,Accumulated Output Growth Rate,NULL,Monthly,Monthly,NULL,NULL,%,Fundamental Data,Analysis,Output of Energy Products - NBS China,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-21 13:33:10.080,NULL,NULL,NULL,NULL,NULL
8635,P_NBS_GANSU_OUTPUT_ACC,National Bureau of Statistics of China,Power,NULL,Gansu,Accumulated Output,NULL,Monthly,Monthly,NULL,NULL,100 million kwh,Fundamental Data,Analysis,Output of Energy Products - NBS China,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-21 13:32:44.000,NULL,NULL,NULL,NULL,NULL
8666,P_NBS_GANSU_OUTPUT_GROWTH,National Bureau of Statistics of China,Power,NULL,Gansu,Output Growth Rate,NULL,Monthly,Monthly,NULL,NULL,%,Fundamental Data,Analysis,Output of Energy Products - NBS China. Growth Rate (The same period last year=100)(%),FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-21 13:33:01.137,NULL,NULL,NULL,NULL,NULL
